koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_prad_log,koi_depth_log,koi_teq_log,koi_insol_log,koi_model_snr_log
9.48803557,2.9575,615.8,2.26,793.0,93.59,35.8,0,0,0,0,5455.0,4.467,0.927,15.347,CONFIRMED,1.1817271953786161,6.4245448222491195,6.677083461247136,4.549551762225079,3.6054978451748854
54.4183827,4.507,874.8,2.83,443.0,9.11,25.8,0,0,0,0,5455.0,4.467,0.927,15.347,CONFIRMED,1.3428648031925547,6.775137754367298,6.095824562432225,2.3135250330323798,3.288401887516811
19.89913995,1.7822,10829.0,14.6,638.0,39.3,76.3,0,0,0,0,5853.0,4.544,0.868,15.436,CANDIDATE,2.747270914255491,9.290075339995036,6.459904454377535,3.696351468952637,4.3476939555933765
1.736952453,2.40641,8079.2,33.46,1395.0,891.96,505.6,0,1,0,0,5805.0,4.564,0.791,15.597,FALSE POSITIVE,3.5397992310997837,8.997171903684052,7.241366283322318,6.7945417870401235,6.227721737567575
2.525591777,1.6545,603.3,2.75,1406.0,926.16,40.9,0,0,0,0,6031.0,4.438,1.046,15.509,CONFIRMED,1.3217558399823195,6.404070763367513,7.249215057114389,6.832126150456476,3.735285826928092
11.09432054,4.5945,1517.5,3.9,835.0,114.81,66.5,0,0,0,0,6046.0,4.486,0.972,15.714,CONFIRMED,1.589235205116581,7.325478284485803,6.728628613084702,4.751950917196286,4.212127597878484
4.13443512,3.1402,686.0,2.77,1160.0,427.65,40.2,0,0,0,0,6046.0,4.486,0.972,15.714,CONFIRMED,1.3270750014599193,6.532334292222349,7.057036981697891,6.060640735124765,3.7184382563554808
2.56658897,2.429,226.5,1.59,1360.0,807.74,15.0,0,0,0,0,6046.0,4.486,0.972,15.714,CONFIRMED,0.9516578757114464,5.427150238391005,7.215975002651466,6.695477480978234,2.772588722239781
7.36178958,5.022,233.7,39.21,1342.0,767.22,47.7,0,1,1,0,6227.0,3.986,1.958,12.66,FALSE POSITIVE,3.6941157209091826,5.458308102856978,7.202661196523238,6.644076150459651,3.885679030088544
16.06864674,3.5347,4914.3,5.76,600.0,30.75,161.9,0,0,0,0,5031.0,4.485,0.848,15.841,CONFIRMED,1.9110228900548727,8.500108068358424,6.398594934535208,3.457892725338701,5.093136515607999
2.470613377,1.74319,14231.0,13.04,1339.0,761.46,4304.3,0,0,0,0,5820.0,4.457,0.964,11.338,CONFIRMED,2.641910398597665,9.563248229345671,7.200424892944957,6.636550048089151,8.367602100844996
2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,0,1,0,0,6440.0,4.019,1.952,10.463,CONFIRMED,2.8390784635086144,8.806229346683947,7.6251071482389,8.330844335930504,8.690625354364276
3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,0,0,0,0,6225.0,4.169,1.451,13.563,CONFIRMED,2.7466296830696852,9.12114843747994,7.3277805384216315,7.143356905218376,7.463076142634679
3.709214104,2.6302,131.1,1.16,1206.0,500.46,50.6,0,0,0,0,5833.0,4.407,1.022,12.772,CONFIRMED,0.7701082216960736,4.883559211528279,7.095893221097532,6.217523843503089,3.9435216724875173
11.521446064,3.6399,17984.0,150.51,753.0,75.88,622.1,0,1,0,0,5795.0,4.554,0.848,15.472,FALSE POSITIVE,5.020651629371744,9.797293356129725,6.625392368007956,4.342245764662037,6.434707019550176
19.40393776,12.2155,8918.7,7.18,523.0,17.69,214.7,0,1,0,0,5043.0,4.591,0.68,15.487,FALSE POSITIVE,2.1016921506146558,9.096017592721482,6.261491684321042,2.9279886214674717,5.373888553395111
19.221388942,4.79843,74284.0,49.29,698.0,55.97,2317.0,0,1,0,0,6117.0,4.496,0.947,15.341,FALSE POSITIVE,3.9178062501838733,11.215664326071453,6.54965074223381,4.042524813492304,7.748460023899697
16.46983774,9.4378,10479.0,7.94,595.0,29.61,303.4,0,1,0,0,5152.0,4.517,0.786,15.788,FALSE POSITIVE,2.190535589185423,9.257223957875032,6.39024066706535,3.421326752957321,5.718342625987531
9.27358173,3.2875,1288.3,2.47,649.0,41.85,87.2,0,0,0,0,4856.0,4.583,0.696,15.302,CONFIRMED,1.244154593958768,7.1618547144167914,6.476972362889683,3.7577056450437887,4.4796069630127455
6.02930329,1.5821,1912.7,2.85,678.0,50.04,65.4,0,0,0,0,4537.0,4.648,0.672,15.784,CONFIRMED,1.3480731482996928,7.556793819916019,6.520621127558696,3.9326096390365346,4.1956970564823886
2.696370652,3.6129,397.9,1.58,1066.0,305.34,48.2,0,1,1,1,4989.0,4.504,0.819,15.269,FALSE POSITIVE,0.9477893989335261,5.988710758911361,6.9726062513017535,5.7246955962364074,3.8958936234982624
5.349553819,3.0278,831.0,2.55,919.0,168.99,60.6,0,0,0,0,5185.0,4.44,0.91,15.416,CONFIRMED,1.2669476034873244,6.723832440821209,6.824373670043086,5.135739611790679,4.120661870539474
3.94105221,2.5984,363.3,1.7,1018.0,253.15,28.9,0,0,0,0,5185.0,4.44,0.91,15.416,CONFIRMED,0.9932517730102834,5.897977704014518,6.926577033222725,5.537924643892912,3.3978584803966405
8.10904807,3.596,217.4,1.3,800.0,97.03,14.1,0,0,0,0,5185.0,4.44,0.91,15.416,CONFIRMED,0.832909122935104,5.38632824387075,6.68586094706836,4.585273554273635,2.714694743820879
386.6030528,6.8057,24927.0,41.5,297.0,1.84,994.0,0,1,0,0,5543.0,4.081,1.58,12.394,FALSE POSITIVE,3.7495040759303713,10.123746948670474,5.697093486505405,1.0438040521731147,6.902742737158593
21.67699193,3.4555,857.2,2.95,530.0,18.64,34.3,0,0,0,0,4954.0,4.5,0.828,15.377,CONFIRMED,1.3737155789130306,6.7548371725574246,6.274762021241939,2.97756830292632,3.563882963939251
4.99677968,2.1717,934.7,2.78,917.0,166.95,28.2,0,0,0,0,5339.0,4.552,0.847,15.861,CONFIRMED,1.3297240096314962,6.841294912281867,6.822197390620491,5.123666316058301,3.374168709274236
4.280963604,2.875,750.8,2.3,1012.0,247.87,61.8,0,0,0,0,5644.0,4.564,0.831,15.356,CONFIRMED,1.1939224684724346,6.622470331130078,6.920671504248683,5.5169306717757145,4.139955073474153
1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,181.1,0,0,1,0,5714.0,4.563,0.831,15.525,FALSE POSITIVE,1.7101878155342436,7.701968768276886,7.2813856635702825,6.961409783517629,5.2045559867335625
670.645531,53.412,18091.0,14.14,196.0,0.35,642.7,0,1,1,0,5520.0,4.466,0.983,15.207,FALSE POSITIVE,2.717340248009303,9.803225130597733,5.2832037287379885,0.30010459245033805,6.467232779058571
61.2563628,7.633,5123.3,39.87,505.0,15.43,85.3,0,1,0,0,6144.0,4.402,1.091,15.25,FALSE POSITIVE,3.7103962975761857,8.541749209312124,6.226536669287466,2.799108932049177,4.457829598089382
38.3775486,5.588,724.2,2.82,529.0,18.53,34.7,0,0,0,0,5481.0,4.369,1.036,15.172,CONFIRMED,1.3402504226184837,6.586447478880696,6.272877006546167,2.9719517448885875,3.5751506887855933
41.19725502,4.6297,2213.9,3.86,439.0,8.76,51.2,0,0,0,0,5031.0,4.485,0.848,15.841,CONFIRMED,1.5810384379124023,7.70296253473323,6.0867747269123065,2.278292400425001,3.955082494888593
6.252962249,2.5819,1036.9,2.65,823.0,108.3,47.1,0,0,0,0,5031.0,4.485,0.848,15.841,CONFIRMED,1.2947271675944,6.944954719971244,6.714170529909472,4.694096395182493,3.8732821771117156
16.01308419,3.2554,1121.9,3.1,593.0,29.31,33.2,0,0,0,0,5015.0,4.499,0.826,15.39,CONFIRMED,1.410986973710262,7.023669903578493,6.386879319362645,3.4114776910697118,3.5322256440685598
32.62876672,4.7971,1804.8,3.36,506.0,15.55,80.0,0,0,0,0,5586.0,4.56,0.798,15.082,CONFIRMED,1.4724720573609429,7.498758985873379,6.2285110035911835,2.806386101823072,4.394449154672439
91.7732862,6.473,652.0,2.12,359.0,3.92,19.1,0,0,0,0,5586.0,4.56,0.798,15.082,CONFIRMED,1.1378330018213911,6.481577129276431,5.886104031450156,1.5933085305042167,3.0007198150650303
4.959319244,2.22739,9802.0,12.21,1103.0,349.4,696.5,0,0,0,0,5712.0,4.359,1.082,15.263,CONFIRMED,2.580974118534234,9.190443740261726,7.00669522683704,5.859075359062237,6.5475025136955205
2.701287801,3.3827,860.4,6.54,1222.0,527.81,48.3,0,1,1,0,5550.0,4.468,0.91,15.54,FALSE POSITIVE,2.020222182019865,6.75855897262001,7.109062135687172,6.270629199099972,3.8979240810486444
4.49876511,3.7362,460.0,2.1,1133.0,389.62,29.5,0,0,0,0,6075.0,4.486,0.969,15.395,CONFIRMED,1.1314021114911006,6.133398042996649,7.033506484287697,5.967735220408745,3.417726683613366
19.651209505,5.2514,11766.0,12.42,730.0,67.03,513.4,0,1,0,0,6074.0,4.391,1.063,15.536,FALSE POSITIVE,2.5967461315435356,9.37305428246393,6.594413459749778,4.219948784356969,6.243001172923409
5.412203927,2.9472,601.6,2.94,1093.0,337.68,166.7,0,0,0,0,5779.0,4.339,1.087,12.791,CONFIRMED,1.3711807233098425,6.401253626696201,6.9975959829819265,5.825055708774077,5.122176668829163
41.43958662,10.5989,2793.1,5.5,516.0,16.72,141.1,0,0,0,0,5468.0,4.367,1.046,15.4,CONFIRMED,1.8718021769015913,7.935265330157098,6.248042874508429,2.8746939451769347,4.956531035103055
8.35389523,2.2514,1041.6,2.52,790.0,91.9,43.4,0,0,0,0,5592.0,4.582,0.787,15.317,CONFIRMED,1.2584609896100059,6.949472872334005,6.673297967767654,4.531523645819793,3.793239469438179
4.125543472,3.1744,1487.3,4.43,1243.0,565.35,128.6,0,0,0,0,6174.0,4.417,1.103,15.506,CONFIRMED,1.691939133945844,7.3053898079751125,7.126087273299125,6.339212261646723,4.864452783918174
2.816504904,2.50587,16814.0,12.21,1219.0,521.13,1406.8,0,0,0,0,5532.0,4.452,0.955,15.052,CONFIRMED,2.580974118534234,9.73002662417437,7.106606137727303,6.257916599022385,7.249783481174031
33.93373447,14.561,8503.7,7.34,430.0,8.11,236.1,0,1,1,0,5040.0,4.628,0.705,15.716,FALSE POSITIVE,2.1210632163706555,9.048374230839235,6.066108090103747,2.209372711271867,5.46848199307136
3.689920099,2.6557,426.7,1.89,1147.0,408.99,35.6,0,0,0,0,5880.0,4.518,0.917,15.242,CONFIRMED,1.0612565021243408,6.058422015232863,7.045776576879511,6.016132769157005,3.6000482404073204
4.431238488,3.15,1010.9,3.25,1104.0,351.23,71.1,0,0,0,0,5714.0,4.428,1.015,15.367,CONFIRMED,1.4469189829363254,6.919585030735714,7.007600613951853,5.86428437131023,4.278054044290903
11.37936986,2.6255,1023.5,3.95,806.0,99.68,37.9,0,0,0,0,5714.0,4.428,1.015,15.367,CONFIRMED,1.599387576580599,6.931959967678955,6.693323668269949,4.611947170267115,3.6609942506244004
26.39432897,3.573,1510.9,3.07,489.0,13.49,48.2,0,0,0,0,5129.0,4.595,0.763,15.234,CONFIRMED,1.4036429994545037,7.321122416986156,6.194405391104672,2.673458756332591,3.8958936234982624
13.57078281,3.3539,511.7,2.64,785.0,89.61,88.4,0,0,0,0,5854.0,4.406,1.012,12.882,CONFIRMED,1.2919836816486494,6.239690878789655,6.666956792429207,4.5065645822339695,4.493120682179469
7.12594387,3.0014,192.4,1.79,997.0,233.31,47.1,0,0,0,0,5779.0,4.339,1.087,12.791,CONFIRMED,1.0260415958332743,5.264760583019194,6.905753276311464,5.456645024927341,3.8732821771117156
