koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_prad_log,koi_depth_log,koi_teq_log
1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,159.3625,0,0,1,0,5714.0,4.563,0.831,15.525,FALSE POSITIVE,1.7101878155342436,7.701968768276886,7.2813856635702825
97.68741770487502,12.034624999999998,3104.2375,14.14,196.0,0.35,159.3625,0,1,1,0,5520.0,4.466,0.983,15.207,FALSE POSITIVE,2.717340248009303,9.803225130597733,5.2832037287379885
61.2563628,7.633,3104.2375,30.636249999999997,505.0,15.43,85.3,0,1,0,0,6144.0,4.402,1.091,15.25,FALSE POSITIVE,3.7103962975761857,8.541749209312124,6.226536669287466
38.3775486,5.588,724.2,2.82,529.0,18.53,34.7,0,0,0,0,5481.0,4.369,1.036,15.172,CONFIRMED,1.3402504226184837,6.586447478880696,6.272877006546167
41.19725502,4.6297,2213.9,3.86,439.0,8.76,51.2,0,0,0,0,5031.0,4.485,0.848,15.841,CONFIRMED,1.5810384379124023,7.70296253473323,6.0867747269123065
6.252962249,2.5819,1036.9,2.65,823.0,108.3,47.1,0,0,0,0,5031.0,4.485,0.848,15.841,CONFIRMED,1.2947271675944,6.944954719971244,6.714170529909472
16.01308419,3.2554,1121.9,3.1,593.0,29.31,33.2,0,0,0,0,5015.0,4.499,0.826,15.39,CONFIRMED,1.410986973710262,7.023669903578493,6.386879319362645
32.62876672,4.7971,1804.8,3.36,506.0,15.55,80.0,0,0,0,0,5586.0,4.56,0.798,15.082,CONFIRMED,1.4724720573609429,7.498758985873379,6.2285110035911835
91.7732862,6.473,652.0,2.12,359.0,3.92,19.1,0,0,0,0,5586.0,4.56,0.798,15.082,CONFIRMED,1.1378330018213911,6.481577129276431,5.886104031450156
4.959319244,2.22739,3104.2375,12.21,1103.0,349.4,159.3625,0,0,0,0,5712.0,4.359,1.082,15.263,CONFIRMED,2.580974118534234,9.190443740261726,7.00669522683704
2.701287801,3.3827,860.4,6.54,1222.0,527.81,48.3,0,1,1,0,5550.0,4.468,0.91,15.54,FALSE POSITIVE,2.020222182019865,6.75855897262001,7.109062135687172
4.49876511,3.7362,460.0,2.1,1133.0,389.62,29.5,0,0,0,0,6075.0,4.486,0.969,15.395,CONFIRMED,1.1314021114911006,6.133398042996649,7.033506484287697
19.651209505,5.2514,3104.2375,12.42,730.0,67.03,159.3625,0,1,0,0,6074.0,4.391,1.063,15.536,FALSE POSITIVE,2.5967461315435356,9.37305428246393,6.594413459749778
5.412203927,2.9472,601.6,2.94,1093.0,337.68,159.3625,0,0,0,0,5779.0,4.339,1.087,12.791,CONFIRMED,1.3711807233098425,6.401253626696201,6.9975959829819265
41.43958662,10.5989,2793.1,5.5,516.0,16.72,141.1,0,0,0,0,5468.0,4.367,1.046,15.4,CONFIRMED,1.8718021769015913,7.935265330157098,6.248042874508429
8.35389523,2.2514,1041.6,2.52,790.0,91.9,43.4,0,0,0,0,5592.0,4.582,0.787,15.317,CONFIRMED,1.2584609896100059,6.949472872334005,6.673297967767654
4.125543472,3.1744,1487.3,4.43,1243.0,565.35,128.6,0,0,0,0,6174.0,4.417,1.103,15.506,CONFIRMED,1.691939133945844,7.3053898079751125,7.126087273299125
2.816504904,2.50587,3104.2375,12.21,1219.0,521.13,159.3625,0,0,0,0,5532.0,4.452,0.955,15.052,CONFIRMED,2.580974118534234,9.73002662417437,7.106606137727303
33.93373447,12.034624999999998,3104.2375,7.34,430.0,8.11,159.3625,0,1,1,0,5040.0,4.628,0.705,15.716,FALSE POSITIVE,2.1210632163706555,9.048374230839235,6.066108090103747
3.689920099,2.6557,426.7,1.89,1147.0,408.99,35.6,0,0,0,0,5880.0,4.518,0.917,15.242,CONFIRMED,1.0612565021243408,6.058422015232863,7.045776576879511
4.431238488,3.15,1010.9,3.25,1104.0,351.23,71.1,0,0,0,0,5714.0,4.428,1.015,15.367,CONFIRMED,1.4469189829363254,6.919585030735714,7.007600613951853
11.37936986,2.6255,1023.5,3.95,806.0,99.68,37.9,0,0,0,0,5714.0,4.428,1.015,15.367,CONFIRMED,1.599387576580599,6.931959967678955,6.693323668269949
26.39432897,3.573,1510.9,3.07,489.0,13.49,48.2,0,0,0,0,5129.0,4.595,0.763,15.234,CONFIRMED,1.4036429994545037,7.321122416986156,6.194405391104672
13.57078281,3.3539,511.7,2.64,785.0,89.61,88.4,0,0,0,0,5854.0,4.406,1.012,12.882,CONFIRMED,1.2919836816486494,6.239690878789655,6.666956792429207
7.12594387,3.0014,192.4,1.79,997.0,233.31,47.1,0,0,0,0,5779.0,4.339,1.087,12.791,CONFIRMED,1.0260415958332743,5.264760583019194,6.905753276311464
7.442652004,2.3078,3104.2375,15.03,967.0,206.78,159.3625,0,1,0,0,6108.0,4.469,0.956,15.27,FALSE POSITIVE,2.7744619666214616,10.104262787988329,6.875232087276577
16.38489988,3.0249,1127.1,2.0,433.0,8.35,28.9,0,0,0,0,4184.0,4.661,0.615,15.095,CONFIRMED,1.0986122886681096,7.028290080610875,6.073044534100405
7.8774163,2.0805,1306.1,2.16,553.0,22.18,38.7,0,0,0,0,4184.0,4.661,0.615,15.095,CONFIRMED,1.1505720275988207,7.175566221791506,6.317164686747284
36.4454001,4.007,1122.3,1.99,332.0,2.88,21.7,0,0,0,0,4184.0,4.661,0.615,15.095,CONFIRMED,1.095273387402595,7.0240260606475236,5.808142489980444
3.728732147,2.683,3104.2375,6.02,1023.0,258.34,159.3625,0,0,0,0,5497.0,4.577,0.809,15.523,CONFIRMED,1.9487632180377197,8.56168843130279,6.931471805599453
40.4195037,3.362,3104.2375,7.51,467.0,11.29,36.9,0,0,0,0,5446.0,4.507,0.781,15.487,CANDIDATE,2.1412419425852827,8.741456115998364,6.148468295917647
2.243380573,1.1196,821.7,1.99,822.0,107.6,38.9,0,0,0,0,4184.0,4.698,0.564,15.135,CONFIRMED,1.095273387402595,6.712591614174885,6.71295620067707
